mode,th_low,th_high,n,acc,prec,rec,f1,tp,fp,fn,tn,n_uncertain
"1D_MAX(extract,rag)",-0.75,3.0,25,0.92,0.882,1.0,0.938,15,2,0,8,8
"1D_MAX(extract,rag)",-0.75,3.25,25,0.92,0.882,1.0,0.938,15,2,0,8,8
"1D_MAX(extract,rag)",-0.75,3.5,25,0.92,0.882,1.0,0.938,15,2,0,8,8
"1D_MAX(extract,rag)",-0.75,3.75,25,0.88,0.875,0.933,0.903,14,2,1,8,9
"1D_MAX(extract,rag)",-0.75,4.0,25,0.88,0.875,0.933,0.903,14,2,1,8,9
"1D_MAX(extract,rag)",-0.75,4.25,25,0.88,0.875,0.933,0.903,14,2,1,8,9
"1D_MAX(extract,rag)",-0.75,4.5,25,0.88,0.875,0.933,0.903,14,2,1,8,9
"1D_MAX(extract,rag)",-0.75,4.75,25,0.88,0.875,0.933,0.903,14,2,1,8,9
"1D_MAX(extract,rag)",-0.75,5.0,25,0.88,0.875,0.933,0.903,14,2,1,8,9
"1D_MAX(extract,rag)",-0.75,5.25,25,0.88,0.875,0.933,0.903,14,2,1,8,9
"1D_MAX(extract,rag)",-0.75,5.5,25,0.88,0.875,0.933,0.903,14,2,1,8,9
"1D_MAX(extract,rag)",-0.75,5.75,25,0.88,0.875,0.933,0.903,14,2,1,8,9
"1D_MAX(extract,rag)",-0.75,6.0,25,0.88,0.875,0.933,0.903,14,2,1,8,9
"1D_MAX(extract,rag)",-0.75,6.25,25,0.84,0.867,0.867,0.867,13,2,2,8,10
"1D_MAX(extract,rag)",-0.75,6.5,25,0.84,0.867,0.867,0.867,13,2,2,8,10
"1D_MAX(extract,rag)",-0.75,6.75,25,0.84,0.867,0.867,0.867,13,2,2,8,10
"1D_MAX(extract,rag)",-0.75,7.0,25,0.84,0.867,0.867,0.867,13,2,2,8,10
"1D_MAX(extract,rag)",-0.75,7.25,25,0.36,0.333,0.067,0.111,1,2,14,8,22
"1D_MAX(extract,rag)",-0.75,7.5,25,0.36,0.333,0.067,0.111,1,2,14,8,22
